map: verdata 'C:\Projects\RevolutionOffline\runtime\mul/verdata.mul' applied (685 patch block(s))
map: verdata 'C:\Projects\RevolutionOffline\runtime\mul/verdata.mul' applied (685 patch block(s))
[15:37:46.074] WARN  [ilyana] [bot] start (1485,1548,70) exits: open=8 terrain=0 mobile=0 dynamic=0 door=0 blacklist=0 (overlay saw 842 item(s), 6 mobile(s))
[15:37:46.137] WARN  [ilyana] [travel] reached (1485,1548,70) but the target is on another floor; not arrived
[15:37:48.931] WARN  [ilyana] [bot] no path to (1489,1548) avoiding 0 block(s); stopping (search 1517565.4us)
[15:37:48.931] WARN  [ilyana] [bot] start (1485,1548,70) exits: open=8 terrain=0 mobile=0 dynamic=0 door=0 blacklist=0 (overlay saw 842 item(s), 6 mobile(s))
[15:37:48.993] WARN  [ilyana] [travel] reached (1485,1548,70) but the target is on another floor; not arrived
[15:37:52.028] WARN  [ilyana] [bot] no path to (1488,1551) avoiding 0 block(s); stopping (search 1690879.5us)
[15:37:52.028] WARN  [ilyana] [bot] start (1485,1548,70) exits: open=8 terrain=0 mobile=0 dynamic=0 door=0 blacklist=0 (overlay saw 842 item(s), 6 mobile(s))
[15:37:52.090] WARN  [ilyana] [travel] reached (1485,1548,70) but the target is on another floor; not arrived
[15:37:56.122] WARN  [ilyana] [bot] no path to (1490,1554) avoiding 0 block(s); stopping (search 1606642.0us)
[15:37:56.122] WARN  [ilyana] [bot] start (1489,1548,70) exits: open=7 terrain=0 mobile=1 dynamic=0 door=0 blacklist=0 (overlay saw 842 item(s), 6 mobile(s))
[15:37:56.183] WARN  [ilyana] [travel] reached (1489,1548,70) but the target is on another floor; not arrived
[15:37:59.989] WARN  [ilyana] [bot] no path to (1490,1551) avoiding 0 block(s); stopping (search 1746969.9us)
[15:37:59.989] WARN  [ilyana] [bot] start (1491,1547,70) exits: open=7 terrain=1 mobile=0 dynamic=0 door=0 blacklist=0 (overlay saw 842 item(s), 6 mobile(s))
[15:38:00.050] WARN  [ilyana] [travel] reached (1491,1547,70) but the target is on another floor; not arrived
[15:38:03.082] WARN  [ilyana] [bot] no path to (1489,1548) avoiding 0 block(s); stopping (search 1752822.3us)
[15:38:03.082] WARN  [ilyana] [bot] start (1491,1547,70) exits: open=7 terrain=1 mobile=0 dynamic=0 door=0 blacklist=0 (overlay saw 842 item(s), 6 mobile(s))
[15:38:03.144] WARN  [ilyana] [travel] reached (1491,1547,70) but the target is on another floor; not arrived
[15:38:08.698] WARN  [ilyana] [policy] REFUSED NPC purchase of unmapped item (0x0EFA): graphic is not in the audited vendor matrix; refusing and recording an authenticity gap [UNKNOWN]
[15:38:08.698] WARN  [ilyana] [policy] AUTHENTICITY GAP: no Revolution evidence either way for whether an NPC sold this item
[15:38:08.698] WARN  [ilyana] [ACTION_RESULT] vendor_buy rejected (0ms) Revolution vendor policy refuses this NPC purchase
[15:38:25.735] WARN  [ilyana] [ACTION_RESULT] vendor_buy timeout (no server confirmation)
[15:38:28.701] WARN  [ilyana] [bot] no path to (1485,1550) avoiding 0 block(s); stopping (search 1832786.6us)
[15:38:28.701] WARN  [ilyana] [bot] start (1489,1548,35) exits: open=7 terrain=0 mobile=1 dynamic=0 door=0 blacklist=0 (overlay saw 842 item(s), 6 mobile(s))
[15:38:31.414] WARN  [ilyana] [bot] no path to (1484,1547) avoiding 0 block(s); stopping (search 1855039.2us)
[15:38:31.414] WARN  [ilyana] [bot] start (1489,1548,35) exits: open=7 terrain=0 mobile=1 dynamic=0 door=0 blacklist=0 (overlay saw 842 item(s), 6 mobile(s))
[15:38:42.313] WARN  [ilyana] [ACTION_RESULT] vendor_buy timeout (no server confirmation)
[15:38:51.301] WARN  [ilyana] [ACTION_RESULT] vendor_buy timeout (no server confirmation)
[15:39:00.344] WARN  [ilyana] [ACTION_RESULT] vendor_buy timeout (no server confirmation)
[15:39:09.440] WARN  [ilyana] [ACTION_RESULT] vendor_buy timeout (no server confirmation)
[15:39:12.326] WARN  [ilyana] [bot] no path to (1489,1547) avoiding 0 block(s); stopping (search 1833377.2us)
[15:39:12.326] WARN  [ilyana] [bot] start (1484,1547,45) exits: open=5 terrain=3 mobile=0 dynamic=0 door=0 blacklist=0 (overlay saw 842 item(s), 5 mobile(s))
[15:39:12.387] WARN  [ilyana] [travel] reached (1484,1547,45) but the target is on another floor; not arrived
